,date,open,high,low,close,volume,oi,PSARl_0.06_0.2,PSARs_0.06_0.2,PSARaf_0.06_0.2,PSARr_0.06_0.2,SUPERT_7_0.3,SUPERTd_7_0.3,SUPERTl_7_0.3,SUPERTs_7_0.3
0,2021-05-10 09:15:00+05:30,116.2,139.1,116.2,137.5,91800,1173000,,,0.06,False,0.0,1,,
1,2021-05-10 09:20:00+05:30,136.0,141.0,135.0,135.85,40800,1156000,,,0.06,False,,1,,
2,2021-05-10 09:25:00+05:30,135.85,135.85,128.5,130.0,24650,1154300,,139.1,0.06,True,,1,,
3,2021-05-10 09:30:00+05:30,130.0,133.95,129.0,133.6,12750,1147500,,141.0,0.06,False,,1,,
4,2021-05-10 09:35:00+05:30,133.6,133.6,129.1,129.1,24650,1150900,,140.25,0.06,False,,1,,
5,2021-05-10 09:40:00+05:30,130.0,131.5,126.0,126.5,18700,1137300,,139.545,0.06,False,,1,,
6,2021-05-10 09:45:00+05:30,126.5,128.0,124.7,124.85,18700,1134750,,137.9196,0.12,False,124.38515824851409,1,124.38515824851409,
7,2021-05-10 09:50:00+05:30,124.85,127.6,122.2,122.55,23800,1137300,,135.540072,0.18,False,126.79532421175541,-1,,126.79532421175541
8,2021-05-10 09:55:00+05:30,122.55,122.55,116.8,116.8,33150,1138150,,132.8720576,0.2,False,121.53789297669688,-1,,121.53789297669688
9,2021-05-10 10:00:00+05:30,115.95,126.7,115.95,125.55,32300,1137300,,129.65764608,0.2,False,119.21452285582941,1,119.21452285582941,
10,2021-05-10 10:05:00+05:30,125.55,130.0,124.55,130.0,23800,1134750,115.95,,0.2,True,125.24771149322324,1,125.24771149322324,
11,2021-05-10 10:10:00+05:30,130.0,130.0,128.0,129.0,10200,1132200,115.95,,0.06,False,127.21466053153127,1,127.21466053153127,
12,2021-05-10 10:15:00+05:30,129.0,129.0,127.5,128.0,11050,1128800,116.793,,0.06,False,127.21466053153127,1,127.21466053153127,
13,2021-05-10 10:20:00+05:30,128.0,128.0,128.0,128.0,0,1128800,117.58542,,0.06,False,127.21466053153127,1,127.21466053153127,
14,2021-05-10 10:25:00+05:30,128.0,129.0,126.05,128.0,7650,1128800,118.3302948,,0.06,False,127.21466053153127,1,127.21466053153127,
15,2021-05-10 10:30:00+05:30,128.0,128.0,126.0,127.05,6800,1127950,119.030477112,,0.06,False,128.1437856914856,-1,,128.1437856914856
16,2021-05-10 10:35:00+05:30,127.05,127.05,124.0,124.0,8500,1127100,119.68864848528,,0.06,False,126.63353727640009,-1,,126.63353727640009
17,2021-05-10 10:40:00+05:30,124.0,126.0,123.0,126.0,5100,1122850,120.3073295761632,,0.06,False,125.57676466081725,-1,,125.57676466081725
18,2021-05-10 10:45:00+05:30,126.0,127.0,124.0,124.0,11050,1122000,120.88888980159341,,0.06,False,125.57676466081725,-1,,125.57676466081725
19,2021-05-10 10:50:00+05:30,124.0,124.5,123.0,123.65,4250,1121150,121.4355564134978,,0.06,False,124.71024306826382,-1,,124.71024306826382
20,2021-05-10 10:55:00+05:30,123.65,123.65,120.15,122.35,21250,1121150,,130.0,0.06,True,122.87358967660322,-1,,122.87358967660322
21,2021-05-10 11:00:00+05:30,122.35,122.35,121.35,122.0,4250,1120300,,129.409,0.06,False,122.72401030197872,-1,,122.72401030197872
22,2021-05-10 11:05:00+05:30,122.0,124.5,122.0,123.5,5950,1122000,,128.85345999999998,0.06,False,122.39423183567379,1,122.39423183567379,
23,2021-05-10 11:10:00+05:30,123.5,124.0,122.5,122.5,4250,1119450,,128.33125239999998,0.06,False,122.45366877086067,1,122.45366877086067,
24,2021-05-10 11:15:00+05:30,122.5,124.55,122.5,124.0,7650,1118600,,127.84037725599998,0.06,False,122.75513429402045,1,122.75513429402045,
25,2021-05-10 11:20:00+05:30,124.0,126.5,124.0,125.75,13600,1120300,,127.37895462063999,0.06,False,124.48302477551812,1,124.48302477551812,
26,2021-05-10 11:25:00+05:30,125.75,128.0,125.5,128.0,5100,1119450,120.15,,0.06,True,125.98548817580843,1,125.98548817580843,
27,2021-05-10 11:30:00+05:30,128.0,129.35,127.8,127.8,3400,1119450,120.62100000000001,,0.06,False,127.85385453161162,1,127.85385453161162,
28,2021-05-10 11:35:00+05:30,127.8,128.9,127.0,128.5,11050,1113500,121.66848,,0.12,False,127.85385453161162,1,127.85385453161162,
29,2021-05-10 11:40:00+05:30,128.5,132.5,128.5,132.0,32300,1112650,122.5902624,,0.12,False,129.7284600627614,1,129.7284600627614,
30,2021-05-10 11:45:00+05:30,132.0,132.0,130.0,130.0,34000,1122000,124.374015168,,0.18,False,130.25317353832426,1,130.25317353832426,
31,2021-05-10 11:50:00+05:30,130.0,130.0,128.5,129.2,12750,1117750,125.83669243776,,0.18,False,129.95411489588776,-1,,129.95411489588776
32,2021-05-10 11:55:00+05:30,128.7,128.7,126.0,127.0,7650,1104150,,132.5,0.18,True,128.0908971031242,-1,,128.0908971031242
33,2021-05-10 12:00:00+05:30,127.0,127.7,125.0,127.7,5100,1100750,,132.11,0.06,False,127.10082148828066,-1,,127.10082148828066
34,2021-05-10 12:05:00+05:30,127.7,129.65,127.5,129.5,14450,1090550,,131.2568,0.12,False,127.83936478214541,1,127.83936478214541,
35,2021-05-10 12:10:00+05:30,129.5,132.0,129.0,131.5,7650,1089700,125.0,,0.12,True,129.7407924096371,1,129.7407924096371,
36,2021-05-10 12:15:00+05:30,131.5,132.05,131.0,131.0,15300,1092250,125.42,,0.06,False,130.8294629158579,1,130.8294629158579,
37,2021-05-10 12:20:00+05:30,131.0,131.25,127.65,128.5,33150,1089700,126.21560000000001,,0.12,False,130.20061776383685,-1,,130.20061776383685
38,2021-05-10 12:25:00+05:30,128.5,129.35,127.6,129.35,3400,1088850,126.91572800000002,,0.12,False,129.19330751116146,-1,,129.19330751116146
39,2021-05-10 12:30:00+05:30,129.35,130.5,129.35,130.5,13600,1088850,127.53184064000001,,0.12,False,129.26013433769054,1,129.26013433769054,
40,2021-05-10 12:35:00+05:30,130.5,133.0,130.5,132.0,25500,1088000,127.6,,0.12,False,131.07295036288318,1,131.07295036288318,
41,2021-05-10 12:40:00+05:30,132.0,132.0,130.0,130.1,19550,1089700,128.572,,0.18,False,131.66602554105359,-1,,131.66602554105359
42,2021-05-10 12:45:00+05:30,130.1,130.1,129.5,129.75,11050,1086300,129.36904,,0.18,False,130.39650139800875,-1,,130.39650139800875
43,2021-05-10 12:50:00+05:30,129.75,130.65,129.75,130.65,850,1090550,,133.0,0.18,True,129.6501945789577,1,129.6501945789577,
44,2021-05-10 12:55:00+05:30,130.65,130.65,129.65,130.0,11050,1088000,,132.805,0.06,False,129.6501945789577,1,129.6501945789577,
45,2021-05-10 13:00:00+05:30,130.0,131.45,130.0,130.5,5950,1087150,,132.4264,0.12,False,130.22222292911596,1,130.22222292911596,
46,2021-05-10 13:05:00+05:30,130.5,130.5,130.0,130.0,34000,1080350,,132.093232,0.12,False,130.70234435386928,-1,,130.70234435386928
47,2021-05-10 13:10:00+05:30,130.0,130.0,126.0,126.0,39950,1066750,,131.80004416,0.12,False,128.55921768008108,-1,,128.55921768008108
48,2021-05-10 13:15:00+05:30,126.0,126.5,125.0,125.0,5100,1050600,,130.7560362112,0.18,False,126.29360696914212,-1,,126.29360696914212
49,2021-05-10 13:20:00+05:30,125.0,126.25,124.0,124.8,5100,1048050,,130.0,0.2,False,125.68738584188065,-1,,125.68738584188065
50,2021-05-10 13:25:00+05:30,124.8,127.5,124.8,127.5,2550,1045500,,128.8,0.2,False,125.55222707499343,1,125.55222707499343,
51,2021-05-10 13:30:00+05:30,127.5,127.5,124.1,124.1,1700,1044650,,127.84,0.2,False,126.45811100174531,-1,,126.45811100174531
52,2021-05-10 13:35:00+05:30,124.1,124.1,120.55,120.55,1700,1042950,,127.5,0.2,False,123.04125445737132,-1,,123.04125445737132
53,2021-05-10 13:40:00+05:30,120.55,126.9,120.55,126.9,4250,1042100,120.55,,0.2,True,122.83888354395815,1,122.83888354395815,
54,2021-05-10 13:45:00+05:30,126.9,126.9,125.0,125.0,11050,1042100,120.55,,0.06,False,125.1090524298485,1,125.1090524298485,
55,2021-05-10 13:50:00+05:30,125.0,125.5,125.0,125.5,3400,1042100,120.55,,0.06,False,125.1090524298485,1,125.1090524298485,
56,2021-05-10 13:55:00+05:30,125.5,128.0,125.5,128.0,3400,1041250,120.931,,0.06,False,126.00666567698774,1,126.00666567698774,
57,2021-05-10 14:00:00+05:30,128.0,129.5,128.0,129.0,17000,1041250,121.77928,,0.12,False,128.048576068197,1,128.048576068197,
58,2021-05-10 14:05:00+05:30,129.0,129.0,128.0,128.0,10200,1042100,123.1690096,,0.18,False,129.14407121868484,-1,,129.14407121868484
59,2021-05-10 14:10:00+05:30,128.0,128.0,125.55,127.3,6800,1043800,124.30858787199999,,0.18,False,127.432062294379,-1,,127.432062294379
60,2021-05-10 14:15:00+05:30,127.3,127.3,126.5,126.5,5950,1042950,125.24304205504,,0.18,False,127.432062294379,-1,,127.432062294379
61,2021-05-10 14:20:00+05:30,126.5,130.0,126.0,129.25,34000,1040400,,129.5,0.18,True,127.31644215590327,1,127.31644215590327,
62,2021-05-10 14:25:00+05:30,129.25,131.05,128.45,131.0,45900,1053150,126.0,,0.06,True,129.05266387032722,1,129.05266387032722,
63,2021-05-10 14:30:00+05:30,131.0,131.55,130.0,130.0,43350,1082900,126.0,,0.06,False,130.11085646963542,1,130.11085646963542,
64,2021-05-10 14:35:00+05:30,130.0,134.1,130.0,133.0,36550,1106700,126.666,,0.12,False,131.3050162329082,1,131.3050162329082,
65,2021-05-10 14:40:00+05:30,133.0,134.5,132.75,133.35,20400,1116900,128.00412,,0.18,False,132.91144368435502,1,132.91144368435502,
66,2021-05-10 14:45:00+05:30,133.35,136.6,133.25,135.45,9350,1124550,129.303296,,0.2,False,134.16980751074706,1,134.16980751074706,
67,2021-05-10 14:50:00+05:30,135.45,135.45,133.0,133.5,85850,1171300,130.7626368,,0.2,False,134.9773077670732,-1,,134.9773077670732
68,2021-05-10 14:55:00+05:30,133.5,133.9,133.25,133.8,30600,1186600,131.93010944,,0.2,False,134.24769045893544,-1,,134.24769045893544
69,2021-05-10 15:00:00+05:30,133.8,133.8,133.0,133.0,7650,1187450,132.864087552,,0.2,False,134.0108762632757,-1,,134.0108762632757
70,2021-05-10 15:05:00+05:30,133.0,133.0,130.5,130.5,45050,1200200,,136.6,0.2,True,132.38075143363133,-1,,132.38075143363133
71,2021-05-10 15:10:00+05:30,130.5,132.0,130.5,132.0,3400,1216350,,136.23399999999998,0.06,False,131.8549294095752,-1,,131.8549294095752
72,2021-05-10 15:15:00+05:30,132.0,132.0,130.5,130.5,6800,1189150,,135.88995999999997,0.06,False,131.8327963497497,-1,,131.8327963497497
73,2021-05-10 15:20:00+05:30,130.5,133.0,130.45,132.95,12750,1187450,,135.56656239999998,0.06,False,131.11617426802206,1,131.11617426802206,
74,2021-05-10 15:25:00+05:30,132.95,134.0,132.55,133.0,14450,1187450,,134.952574912,0.12,False,132.69100675204544,1,132.69100675204544,
75,2021-05-11 09:15:00+05:30,106.0,107.0,90.05,102.0,51850,1184900,,134.41226592255998,0.12,False,100.86629427808215,-1,,100.86629427808215
76,2021-05-11 09:20:00+05:30,102.0,111.0,100.0,108.05,39100,1176400,,134.0,0.18,False,103.02174680293331,1,103.02174680293331,
77,2021-05-11 09:25:00+05:30,108.05,112.95,108.0,112.8,33150,1167050,,126.089,0.18,False,108.13864096816332,1,108.13864096816332,
78,2021-05-11 09:30:00+05:30,112.8,112.8,105.0,105.0,15300,1165350,,119.60198,0.18,False,111.23687917282074,-1,,111.23687917282074
79,2021-05-11 09:35:00+05:30,105.0,105.0,100.0,101.5,13600,1163650,,114.2826236,0.18,False,104.71732447825933,-1,,104.71732447825933
80,2021-05-11 09:40:00+05:30,101.5,105.5,100.0,104.4,13600,1165350,,112.8,0.18,False,104.71732447825933,-1,,104.71732447825933
81,2021-05-11 09:45:00+05:30,104.4,112.45,104.4,110.0,5100,1167050,90.05,,0.18,True,106.24890459847866,1,106.24890459847866,
82,2021-05-11 09:50:00+05:30,110.0,118.9,110.0,118.7,19550,1167900,91.39399999999999,,0.06,False,112.20334660282835,1,112.20334660282835,
83,2021-05-11 09:55:00+05:30,118.7,120.0,116.4,120.0,23800,1167050,94.69471999999999,,0.12,False,116.12001177041799,1,116.12001177041799,
84,2021-05-11 10:00:00+05:30,120.0,120.0,118.3,118.65,2550,1156850,99.24967039999999,,0.18,False,117.29429626064277,1,117.29429626064277,
85,2021-05-11 10:05:00+05:30,118.65,118.65,114.0,114.1,12750,1159400,102.98472972799999,,0.18,False,118.11488880439538,-1,,118.11488880439538
86,2021-05-11 10:10:00+05:30,114.1,116.55,114.1,116.5,3400,1156850,106.04747837695999,,0.18,False,116.96419017795984,-1,,116.96419017795984
87,2021-05-11 10:15:00+05:30,116.5,116.5,116.5,116.5,0,1156850,108.55893226910719,,0.18,False,116.96419017795984,-1,,116.96419017795984
88,2021-05-11 10:20:00+05:30,116.5,118.0,116.5,118.0,850,1157700,110.61832446066789,,0.18,False,115.98141170580962,1,115.98141170580962,
89,2021-05-11 10:25:00+05:30,118.0,121.0,118.0,121.0,5100,1156850,112.30702605774768,,0.18,False,118.28406722609411,1,118.28406722609411,
90,2021-05-11 10:30:00+05:30,121.0,124.2,121.0,122.0,10200,1154300,114.04562084619815,,0.2,False,121.4206290805091,1,121.4206290805091,
91,2021-05-11 10:35:00+05:30,122.0,122.55,120.65,122.55,5100,1155150,116.07649667695851,,0.2,False,121.4206290805091,1,121.4206290805091,
92,2021-05-11 10:40:00+05:30,124.25,124.25,122.1,122.1,4250,1154300,117.70119734156681,,0.2,False,122.14658472027925,1,122.14658472027925,
93,2021-05-11 10:45:00+05:30,122.1,125.0,122.1,125.0,10200,1156850,119.01095787325345,,0.2,False,122.54421548605166,1,122.54421548605166,
94,2021-05-11 10:50:00+05:30,125.0,125.65,123.1,123.5,7650,1152600,120.20876629860275,,0.2,False,123.40361328877566,1,123.40361328877566,
95,2021-05-11 10:55:00+05:30,123.5,123.5,123.5,123.5,0,1152600,121.2970130388822,,0.2,False,123.40361328877566,1,123.40361328877566,
96,2021-05-11 11:00:00+05:30,123.5,123.5,123.5,123.5,0,1152600,122.16761043110576,,0.2,False,123.40361328877566,1,123.40361328877566,
97,2021-05-11 11:05:00+05:30,123.5,123.5,121.4,121.4,2550,1152600,,125.65,0.2,True,123.15171867112227,-1,,123.15171867112227
98,2021-05-11 11:10:00+05:30,121.4,121.4,118.5,118.5,27200,1157700,,125.39500000000001,0.06,False,120.67575886662702,-1,,120.67575886662702
99,2021-05-11 11:15:00+05:30,118.5,123.05,118.5,122.7,3400,1173850,,124.56760000000001,0.12,False,119.95792095301718,1,119.95792095301718,
100,2021-05-11 11:20:00+05:30,122.7,123.0,122.7,123.0,850,1173000,,123.83948800000002,0.12,False,122.13678940628326,1,122.13678940628326,
101,2021-05-11 11:25:00+05:30,123.0,123.0,123.0,123.0,1700,1173850,,123.19874944000001,0.12,False,122.38867664907691,1,122.38867664907691,
102,2021-05-11 11:30:00+05:30,123.0,123.0,122.9,122.9,1700,1172150,118.5,,0.12,True,122.42172285262926,1,122.42172285262926,
103,2021-05-11 11:35:00+05:30,122.9,123.5,122.9,123.5,5950,1171300,118.77,,0.06,False,122.72147673624958,1,122.72147673624958,
104,2021-05-11 11:40:00+05:30,123.5,127.0,123.5,127.0,7650,1167050,119.3376,,0.12,False,124.6898371948703,1,124.6898371948703,
105,2021-05-11 11:45:00+05:30,127.0,129.0,127.0,128.0,12750,1169600,120.716832,,0.18,False,127.43414616657583,1,127.43414616657583,
106,2021-05-11 11:50:00+05:30,128.0,128.35,126.5,126.5,28050,1191700,122.3734656,,0.2,False,127.9893032856857,-1,,127.9893032856857
107,2021-05-11 11:55:00+05:30,126.5,126.5,125.5,125.75,37400,1206150,123.69877248,,0.2,False,126.52654567122285,-1,,126.52654567122285
108,2021-05-11 12:00:00+05:30,125.75,126.0,125.25,125.25,26350,1209550,124.759017984,,0.2,False,126.10846771601803,-1,,126.10846771601803
109,2021-05-11 12:05:00+05:30,125.25,131.8,125.25,131.8,11050,1215500,,129.0,0.2,True,127.82988480569074,1,127.82988480569074,
110,2021-05-11 12:10:00+05:30,131.8,136.1,131.8,136.1,47600,1218900,125.25,,0.06,True,133.16990125887114,1,133.16990125887114,
111,2021-05-11 12:15:00+05:30,136.1,154.0,136.1,150.0,78200,1258850,125.25,,0.06,False,143.61420105820358,1,143.61420105820358,
112,2021-05-11 12:20:00+05:30,150.0,153.5,147.0,150.0,63750,1283500,128.7,,0.12,False,148.74074376217442,1,148.74074376217442,
113,2021-05-11 12:25:00+05:30,150.0,150.0,146.0,147.35,53550,1309000,131.736,,0.12,False,149.46507677424802,-1,,149.46507677424802
114,2021-05-11 12:30:00+05:30,147.35,148.45,145.0,145.0,16150,1320900,134.40768,,0.12,False,148.12863723384066,-1,,148.12863723384066
115,2021-05-11 12:35:00+05:30,145.45,145.75,144.0,145.5,42500,1344700,136.7587584,,0.12,False,146.15311762685408,-1,,146.15311762685408
116,2021-05-11 12:40:00+05:30,145.5,145.5,144.0,145.0,67150,1372750,138.827707392,,0.12,False,145.9098151069934,-1,,145.9098151069934
117,2021-05-11 12:45:00+05:30,145.0,145.0,139.6,140.0,62050,1442450,,154.0,0.12,True,143.52555580682252,-1,,143.52555580682252
118,2021-05-11 12:50:00+05:30,140.0,140.0,139.0,139.5,8500,1451800,,153.136,0.06,False,140.5933335472773,-1,,140.5933335472773
119,2021-05-11 12:55:00+05:30,139.5,147.0,139.5,147.0,4250,1450100,,151.43968,0.12,False,141.99142838651872,1,141.99142838651872,
120,2021-05-11 13:00:00+05:30,147.0,147.0,144.1,144.1,3400,1449250,,149.94691840000002,0.12,False,144.34693861745643,1,144.34693861745643,
121,2021-05-11 13:05:00+05:30,144.1,144.1,142.65,143.35,5100,1450950,,148.633288192,0.12,False,144.46833832714842,-1,,144.46833832714842
122,2021-05-11 13:10:00+05:30,143.35,149.0,143.35,149.0,26350,1448400,139.0,,0.12,True,144.9957100048004,1,144.9957100048004,
123,2021-05-11 13:15:00+05:30,149.0,149.0,143.4,143.4,850,1427150,139.6,,0.06,False,147.4508199962427,-1,,147.4508199962427
124,2021-05-11 13:20:00+05:30,143.4,146.0,143.4,144.25,1700,1427150,140.164,,0.06,False,145.88355999649144,-1,,145.88355999649144
125,2021-05-11 13:25:00+05:30,144.25,145.0,143.75,145.0,1700,1426300,140.69415999999998,,0.06,False,145.44305142514017,-1,,145.44305142514017
126,2021-05-11 13:30:00+05:30,145.0,145.65,145.0,145.65,850,1426300,141.19251039999997,,0.06,False,144.38167020741508,1,144.38167020741508,
127,2021-05-11 13:35:00+05:30,145.65,147.5,145.65,147.5,850,1426300,141.66095977599997,,0.06,False,145.68714589221966,1,145.68714589221966,
128,2021-05-11 13:40:00+05:30,147.5,147.5,146.15,146.9,1700,1427150,142.10130218943996,,0.06,False,146.00612505063344,1,146.00612505063344,
129,2021-05-11 13:45:00+05:30,146.9,146.9,146.9,146.9,0,1427150,142.51522405807356,,0.06,False,146.198107186489,1,146.198107186489,
130,2021-05-11 13:50:00+05:30,146.9,152.95,146.9,150.0,5950,1424600,142.90431061458915,,0.06,False,149.06409187386342,1,149.06409187386342,
131,2021-05-11 13:55:00+05:30,150.0,150.4,150.0,150.4,11900,1421200,144.10979334083845,,0.12,False,149.44493589203697,1,149.44493589203697,
132,2021-05-11 14:00:00+05:30,150.4,150.4,148.25,148.25,850,1420350,145.17061813993783,,0.12,False,150.06434066394868,-1,,150.06434066394868
133,2021-05-11 14:05:00+05:30,148.25,155.0,148.25,153.05,8500,1416950,146.10414396314528,,0.12,False,150.701993716419,1,150.701993716419,
134,2021-05-11 14:10:00+05:30,153.05,154.45,153.0,154.15,2550,1416100,147.70539804977912,,0.18,False,152.8717088998516,1,152.8717088998516,
135,2021-05-11 14:15:00+05:30,153.0,157.2,153.0,157.0,8500,1413550,148.25,,0.18,False,154.1886076283986,1,154.1886076283986,
136,2021-05-11 14:20:00+05:30,157.0,157.0,155.25,155.25,7650,1413550,150.04,,0.2,False,155.26880653866453,1,155.26880653866453,
137,2021-05-11 14:25:00+05:30,155.25,155.25,151.25,152.7,3400,1412700,,157.2,0.2,True,154.15530868117304,-1,,154.15530868117304
138,2021-05-11 14:30:00+05:30,152.7,154.0,150.0,150.0,9350,1411850,,157.0,0.06,False,152.9474074410263,-1,,152.9474074410263
139,2021-05-11 14:35:00+05:30,150.0,151.95,150.0,150.7,3400,1412700,,156.16,0.12,False,151.87063494942913,-1,,151.87063494942913
140,2021-05-11 14:40:00+05:30,150.7,150.7,150.7,150.7,3400,1411000,,155.42079999999999,0.12,False,151.46768709946417,-1,,151.46768709946417
141,2021-05-11 14:45:00+05:30,150.7,151.65,148.0,151.65,6800,1413550,,154.77030399999998,0.12,False,149.0105539147304,1,149.0105539147304,
142,2021-05-11 14:50:00+05:30,151.65,154.05,151.65,154.05,850,1413550,148.0,,0.18,True,152.0490462126297,1,152.0490462126297,
143,2021-05-11 14:55:00+05:30,154.05,154.05,148.9,148.9,6800,1416100,148.0,,0.06,False,152.38224610348465,-1,,152.38224610348465
144,2021-05-11 15:00:00+05:30,148.9,151.0,148.9,151.0,1700,1415250,148.363,,0.06,False,150.81763951726475,-1,,150.81763951726475
145,2021-05-11 15:05:00+05:30,151.0,151.0,147.0,147.0,5950,1415250,,154.05,0.06,True,149.9151195862349,-1,,149.9151195862349
146,2021-05-11 15:10:00+05:30,147.0,147.0,146.05,146.85,4250,1416100,,153.627,0.06,False,147.3501025024741,-1,,147.3501025024741
147,2021-05-11 15:15:00+05:30,146.85,146.85,144.0,144.0,2550,1415250,,152.71776,0.12,False,146.25437357354977,-1,,146.25437357354977
148,2021-05-11 15:20:00+05:30,144.0,144.0,141.1,141.6,5100,1415250,,151.1485632,0.18,False,143.38517734875757,-1,,143.38517734875757
149,2021-05-11 15:25:00+05:30,141.6,143.2,140.8,141.6,5950,1412700,,149.13885056,0.2,False,142.8187234417907,-1,,142.8187234417907
